,review
187,"Sushi Toni has fresh, delicious rolls. The salmon was very fresh and great quality. Unlike other sushi places around, it is not overpriced. While the menu is somewhat more limited than others, if you order something they're likely to make it for you. I would definitely recommend. The only complaints I have is that they're closed on Mondays and Tuesdays and the smaller menu. I will add that I have never eaten there so I can't speak to the ambiance."
188,"Easily my favorite restaurant in downtown Mountain View. Everything about this place is just amazing. I'm surprised they aren't a 1 Michelin star restaurant, because their service and food quality is so far ahead of everything else around here. My go-to order is tako sashimi, maguro sashimi, a side of rice, miso soup, and a salad. Of course raw fish is an acquired taste, but they also make excellent nigiri (california, spicy tuna, etc.) and other non-fish containing items such as their tonkatsu-kuri for those not as accustomed to Japanese cuisine. There is another location in San Jose, but it doesn't hold the same ambience as the one here in Mountain View. This place is so special to me, I almost feel like I should keep it a secret. I usually only come here with a beautiful woman, ready to spend $150+ for dinner on a beautiful evening. This place is overflowing with elegance."
189,"This place is consistently wonderful. The fish is always fresh. Sit down service was always rushed because they always had a line out the door, but they were still friendly.The rolls have very good ingredients, but are not the most well formed, we usually get a few but really come here for the nigiri.During covid we got food to go. It's never quite as good after a car ride, but we often took it to the closest park we could and it was still some of the best sushi we ever had."
190,"Fabulous fish, good rolls, friendly but rushed service. This place seems like it's always packed with a line out the door but it is well worth the wait."
191,Pretty good sushi place around town. I always call in in advance and go pick up to save time and also because of COVID. The lady at the restaurant is always so kind and patient and the food quality is very good. I would recommend coming here for lunch instead of dinner
192,"Tried something different wasn't what I thought great servers and host restaurant was clean, but crowded"
193,"extra special chirashi: 5/5The extra special chirashi is amazing and super worth! All the cuts of fish were thick, fresh, and delicious. It even had amaebi and uni! It was a hefty portion but left me feeling thoroughly satisfied. It also comes with miso soup! I would definitely order this everytime I come. My friend got the spicy tuna roll and some other things, apparently the spicy tuna here is pretty spicy because he looked like he was in pain with every bite after the first HAHAHAHA Note: this place is super popular even during weekday lunches. I came on a Friday a bit past noon and had to wait ~20 minutes."
194,"There's a reason why this place ALWAYS has a line. The quality of the fish and price seriously cannot be beat. My go-to for lunch is the Lunch Combo ($12.90) or the Tomi Bento ($14.90), both of which are EXTREMELY reasonably priced at under $15. What I think makes Sushi Tomi stand out is that their sashimi pieces that come in the combos are good quality cuts; this often isn't the case with other places.Parking can be a challenge, as the lot across the street is usually full during mealtimes. I haven't spent more than 5 minutes looking for street parking before, though.Service is fast but not rushed. As long as I'm living in Sunnyvale (which may not be for much longer...), Sushi Tomi will be a go-to for me when the sushi cravings inevitably hit."
195,"I've been here several times now and have never been disappointed. The restaurant itself isn't super big and they have yet to integrate with Yelp waitlist, so you certainly should expect a bit of a wait.Maybe that one punctual friend in your party can put his/her name down first while everyone else shows up 15-20 minutes late. That happened to me a few times, and while I didn't LOVE waiting by myself, at least nobody else had to wait -_-...I am usually a man of habit, so most of the time I just order their sushi rolls. But last time I came, a friend ordered the hamachi kama and it was amazing. Ambrosian even. It was so fatty and so juicy, almost like butter melting in your mouth. I'd definitely recommend you to try that!"
196,Great food and a very warm environment. The wait staff is knowledgeable re the menu and are very friendly.
197,"The quality of the food was pretty good and the salmon roll tasted pretty good. I wanted to try the plum onigiri, and it was not bad, except for the fact that the plum was a bit small, but it was a nice and sweet (a bit unexpected)! I do think they tried to stuff the onigiri with as much rice as possible, so it was quite filling. The sashimi was pretty good, but the tonkatsu was just ok. It was a little busy and we had to put ourselves on the waitlist in the front, but the service was nice and fast. It does feel a bit loud at times, but the lighting and ambience was good. I would recommend this place for people who want good quality sushi!"
198,"Yes this place lives up to the hype!!I've been here a couple times now & each time the wait was around 30min-1h. The restaurant is on the smaller side (for how popular it is) so it gets a little crowded but.. WOW the fish is so good here. The rolls are flavorful, with fresh fish and thoughtful presentation. I tried the omakase set my first time here and was blown away by how high the quality of the fish was for how cheap the set was.Honestly, I'm not the type of person to get regular cravings for sushi, but I find myself craving Sushi Tomi's bombbb nigiri. It's just so good!"
199,"According to my dad:""4.4 stars. You don't come here for the atmosphere, you come here for the fish.""They didn't have a lot if variety or weird specialty rolls, mostly standard stuff. The Hamachi was really fresh and especially delicious. The table service was fast. The door line was also quite long, but moved really quickly."
200,"This place is super overrated. South Bay & Peninsula Yelp has been kinda letting me down with the review inaccuracy lately. /sigh. While not terrible, this place is just exceedingly average (at best). It was kind of annoying to be told i needed to wear a mask for the 3 foot walk from the door to my table (when clearly everyone inside is maskless while eating). I actually watched the hostess send a couple away to get their masks before she'd seat them similarly. It's been over a month since the CDC & state said that fully vaccinated peeps could skip the masks (I got vaxxed 4 months ago...), but the shops in Mt View seem to be hanging on to the old mandates for some reason. Anyway, on to the rest of my dinner...This place also closes early (8pm), like many sushi spots (& other restos) in the area, so fair warning. As a transplanted Cali native who was in NYC for the prior 15 years, I don't think I'll ever get used to places ending dinner service before the sun has even gone done, but whatever. Senior citizen sushi dinner, here we go. I got the ""extra special"" chirashi bowl, which was actually a pretty good assortment of fish, at a decent price ($31), including: Uni (1 small lobe- I THINK it may have been Santa Barbara urchin...pretty good), Ikura (tiny scoop...Nothing to write home about. Typically salty salmon eggs from a jar...I wish I could find the in-house marinated zuke ikura more often), Ama Ebi (ok...but you could feel from the texture- kinda sticky- it wasn't the freshest), kanpachi (pretty good), maguro (oddly cut, but good flavor), Hirame (I think...might have been Tai), Toro (1 pc VERY good. Fatty in the right way, cut properly, very tender & flavorful), Salmon belly (decent, tho cut a bit wrong, so I had to chew thru some leftover skin on my piece), unagi (good, tho cold by the time I got to it. Not sure if it was ever hot), a piece of what looked like MAYBE Saba skin or something, oddly? Dunno. & then a little pocket of seaweed & some marinated mushrooms, with 2 PCs of tamago (sweet omelette) for ""dessert"", heh. They tossed a couple slices of fish cake in there as well, which was a first for me to see in a chirashi bowl, so skipped it. Not a fan. My main complaint with the chirashi was the layout/ presentation. It was just a totally haphazard pile of fish randomly placed on top of other fish, sometimes 3-4 types deep. That's a no-no. If you toss a big slab of salmon toro on top of other fish, guess what? Everything kinda tastes like salmon, from all the oil. The fish should be laid out with SOME thought & order &, ideally, a bit of separation either with space or shiso leaf or something. This thing just looked like a lazy clump of fish slices on sticky rice (no sushi seasoning/ vinegar that I could taste)I also ordered fresh wasabi for the bowl, which was a pleasant surprise to see on the menu (tho they still tossed the wasabi paste stuff IN the chirashi bowl for some reason, with way too little gari/ ginger). They fried the ama ebi head & served it, which is always a nice touch, but they made the cardinal sin of not removing the bitter & gross stomach from the head, prior to frying. So, I bit in & hit that nastiness & it was a wrap for that portion. I was excited to see crispy grilled chicken skin on the menu, tori kawa, but these skewers were also a ""miss"" as the skin was chewy & undercooked, instead of nice & dry & crispy/ salty. Another half bite & done. Towards the end of the meal, they finally brought the Kanpachi Kama I had ordered when I first walked in (see pic). While super cheap at $11, this thing was ALL wrong. First, it was an entire half of a fish head, not the ""collar"" (area between head & gills), which Kama should be. Second, it was served upside down, with the gross fisheye staring at me, instead of crispy meat side up. Lastly, the meat didnt have the nice, crispy/ salty ""shell"" over the meat, that locks in the flavor when you cook it right, keeping the meat beneath nice & fatty/ juicy. It was also served on a leaf of supremely wilted & gross butter lettuce, or something, which only further detracted from the already lousy presentation. No lemon, no salt, no torashi red pepper...so, I asked for all 3. Meat was mediocre, & there wasn't much of it anyway, since the serving was mostly head, so I took a couple bites & then just pushed it away. I politely told my server that this was a fish head, not Kama, & she just responded ""well, that's how we do it here"". Ok, well that's wrong. List it as ""Kanpachi half a fish head"" on the menu then, cuz Kama it ain't...woulda been nice to have it taken off the bill, but since it was only $11, whatever...Overall it was a decent meal, & didn't cost a fortune because of how I ordered it, but everything was a bit ""off"", & overall I left pretty disappointed & underwhelmed. This certainly did not seem like a 4.5 star spot, worthy of thousands of glowing reviews, IMHO. If you know sushi, adjust your expectations waaaay down.u"
201,It appears that they have listened to the reviews. The sit down service has improved since our last visits. Bravo!
202,"If you want excellent sushi and bento boxes with a side of exceptionally bad and rude service, this is the place to be.  Onigiri is a must try. The noodle soups can use more flavor though.Lose your dignity and focus on eating, and don't invite guests :)"
203,Ordered takeout & it was amazing! Got different types of nigiri. Def recommend the toro!
204,"I'm not sure if I just didn't order the right things but I wasn't that pressed. I came on Friday night en route to Monterey. I came late enough that there wasn't a wait. I ordered a tempura appetizer, tobiko nigiri, and a caterpillar roll. The tempura app was okay, the fried vegetables were good but the fried shrimp was soggy and not appetizing. The caterpillar roll was not very good. I think there was too much cucumber for my taste. I don't really like cucumber and the places I go to doesn't put cucumber in it, only avocado. It was a fine meal because I was hungry and I would probably go again if there wasn't a wait... But it seems like during busy times theres a long wait and it just doesn't seem worth it."
205,Sushi here is always great! On the pricier side and there's almost always a long wait for service/takeout but definitely good food! Tomi roll is one of my faves
206,Worst sushi I have ever had. They used what looked and tasted like regular white rice.  Rolls were not held together and the spicy tuna roll was chalky.  The rainbow roll looked like a 1st grader made it and I even have heartburn.  I can't believe the other reviews. Maybe they recently switched owners?  I will for certain never go back.
207,Had lunch here- Ate their sushi/sashimi special.1-presentation     42-taste                    53-parking               5 (it was a ghost town)4-quantity              45-service                46-Wine                   did not drink7-atmosphere      38-value                  4overall                   4I would go back.
208,The sushi was delicious and their customer service was spot on. I also enjoyed the ambiance created within the restaurant.
209,"This is a well known Sushi place, so I had high expectations when coming here. It was quite busy and took some time to get seated. The food was good I tried about 5 different dished and enjoyed most of them. It was a nice dinner and we all enjoyed it."
210,"Oh my goooodness. I didn't realize there was a place that actually flew in their fish from Tsukiji Japan! There is a bit of a wait even on weekdays so bring a jacket on chilly days! There is a free parking lot across the street and abundant street parking around so take your time to find if it's a little busy. Service - very fast, efficient and to the point. Sushi - me and the bf got regular omakase without the appetizers (45$~). I didn't expect much but the fish quality was so good, especially for the uni, mackerel and toro. We ate at a table so we couldn't ask the chef what order to eat the fish but we tried to save the fattier ones for last. It did come with fresh wasabi on the plate, which was great.Tomi hamachi special roll was delicious and I enjoyed tasting the smoke from the broiling. Fried baby octopus - they had a nice crunch but we could tell it had been sitting on the counter for a bit as it was warmish when we started to eat it. Definitely could've used a squeeze of lemon on it!"
211,"The creative side of the menu was spot on. We tried lion king, incredible. The sashimi was great, I had the 4 piece. The bento boxes are huge and decent. Also we tried phili rol, and fatty tuna, both really good. Caterpillar was alright. But not comparable to the rest. I will definitely go back."
212,"I came here on a Sunday evening as part of a group of 5, including one toddler and 3 people who don't really like raw fish. The goal was more to try a nice bottle of sake ($20 corkage fee, FYI) since the taste ranged from myself (""I'll eat anything"") to ""I'll try the sushi if it looks good"" to ""I refuse to even try Japanese food"".First thing, the place was packed. I had called ahead to see what kind of wait we can expect, and the receptionist gave a vague answer of ""it's 15 minutes now but I don't know how long it will be when you get here"". I guess that's a safe way to answer but I'd appreciate a more detailed response, like ""it's 15-30 minutes depending on your party size"". Anyway, this place looked the coolest of the various spots I saw, so we drove over and even got a parking spot right across the street. Anyone other time though and you'd probably have trouble finding a spot since this is basically downtown Mountain View.Skipping the line-waiting, which was about 25 minutes, we were then seated and they helpfully had a high chair quickly set up. So that part was nice.For myself, as soon as I saw the $80 omakase menu with ""special fish"", I was determined to try it. Omakase is generally giving the chef a chance to do whatever he or she wants, so I'm happy to splurge on a special occasion to get some really interesting sushi.For the others, well, the waiter was very patient. My dining companions are picky eaters, they wanted reassurances that they would not be getting raw fish, and basically made the waiter go over everything available and asked if it's cooked. He was mostly patient, although I felt like he was getting a little annoyed after 5 minutes of constant questions. I was certainly getting annoyed.When we mentioned the sake we had brought, the waiter helpfully took it into the back, opened it, discarded the box, and brought us some chilled shot glasses. I would have preferred he bring a chilled container for the bottle as well, but it wasn't available I guess.My companions ordered pretty blah items - gyoza, chicken teriyaki, avocado rolls, basically all the generic stuff. Getting them to actually go to a Japanese restaurant was the big accomplishment, so I'm not going to be too disappointed by their preference. Hopefully over time they get more adventurous.On my end, the meal started with a selection of 3 appetizers. Mixed marinated raw fish, ankimo (monkfish liver), and 3 small fried octopi. Everything was great, although the waiter didn't explain what the dishes were or if there was a recommended order to eat them in.The next part of my meal was the sushi selection, 10 pieces of nigiri, all artfully sauced and displayed. To be fair to the chef, the presentation was good and the fish was at the proper temperature, not served chilled like at a lot of places. Cold masks flavor, so the itamae was clearly confident in his fish as it was between room temperature and slightly warmed. The rice was also good, not quite as loosely packed as I've had in Japan, but far superior to the squished gloppy stuff you get at cheaper places.Unfortunately, the service here was another let down, as I wasn't told what any of the fish were, nor was I told what order to eat them in. Omakase is always done in a specific order, generally going from lightest to strongest tasting, and it would have been better had the waiter told me ""eat clockwise from the top left"" or whatever. I would have liked to know exactly what I was eating as well, not because I'm picky but just because I'm curious. Oh well.My final dish was half of a fish head, gently grilled. The meat was falling apart tender, and still very moist. The skin was fishy in a great way, and I had a lot of fun disassembling the skull and sucking out the eye, brains, and little meat morsels. One of my dining companions looked a little faint watching, but hey, I'm not going to waste food!Our total with tax and tip was about $210, which is not bad for sushi although a little pricey considering the other people mostly had chicken. I think Sushi Tomi will be relegated to special occasions rather than somewhere I try to become a regular due to the cost and the wait.Overall though, I would come back. The service issues aside, our waiter was generally good and everyone agreed the food tasted great. They take credit cards too, which is nice."
213,Hands down the best sushi in the South Bay and peninsula. They have fresh sashimi shipped from Japan and omakase always give you a surprising fresh taste. The only thing is that they do not take reservations and the line is always long. They do not have any smart waiting system (eg a system that you can sign in and wait online while driving there) so make sure you go early.
214,"Pretty solid place to get sushi. From the outside this looks like a small restaurant but when you go in there's actually a good amount of space. I came here with a group of 5 on a Thursday around 6:30PM and the wait was only 15-20 minutes which wasn't too bad. I've heard this place gets packed. For appetizers we got the takoyaki and agedashi tofu. The takoyaki here is some of the best I've had. Would definitely return and get this again. The agedashi tofu tasted a bit over-fried because it wasn't all that soft but still good. For the main course, I got the special chirashi (how it's different from the regular is that this comes with roe and unagi for $5 more). I thought each cut of fish was good but wished the shrimp was an amaebi instead of just being boiled. I think I will stick to just rolls next time. My friends also go the Tomi roll which was their special and thought it was great but they might have overhyped the roll for me because I thought it was going to wow the heck out of me like a kick in the nuts kind of surprise. Regardless, this was still a great sushi place and I would definitely not resist coming back here to try other items from their menu. SERVICE: Great staff, super attentive and not one time did we feel neglected."
215,"We usually go to our sushi place in the South Bay but we were meeting friends from Burlingame, so we decided to go to Sushi Tomi in Mountain View based on the Yelp reviews. We were not impressed. (And by the way, parking was horrible in Mountain View.) There was a line when we got there around 6:20 p.m. I think we waited about 30 minutes. It was a week night. I guess not too bad by Mountain View standard.Service was slow. Took them a while to take our orders.We ordered two sushi dinners, one sashimi dinner and one combination dinner. We did not get any salads with the sushi or sashimi dinners even though the menu said salads were included. We forgot to ask for the salads since we did not notice until it was kind of late.At our regular South Bay restaurant, we never have to ask. The prices at Sushi Tomi are also higher than South Bay. I guess location matters.My friend said the tempura for the combo dinner was subpar. The sushi and sashimi were pretty standard.And the kitchen closes at 8 pm. Beware.Overall, not worth the price and not worth the wait."
216,The best Sushi place that both my daughter and me rate. The rice for the sushi and fish make the difference.
217,"My friend was moving to a new place to start med school so I wanted to treat her to lunch to celebrate. We found this popular Japanese spot in Mountain View, and although they don't currently have indoor or outdoor seating, we were intrigued and wanted to try the food, and I'm so glad we did!Food:- Extra Special Chirashi Sushi--$31We decided to splurge and get the Extra Special Chirashi Sushi because it comes with uni and ikura and we both love uni. It was definitely worth it and the fish was so fresh and yummy. There wasn't too much rice which was perfect to savor the fish--the main star.- Tempura Appetizer--$11.90Tempura is my absolute favorite Japanese dish, so we had to order this one. The appetizer came with two shrimp tempura, and an assortment of veggie tempura that included pumpkin, sweet potato, bell pepper, broccoli, and carrot. The shrimp and veggies were soft and tender, and had just the right amount of batter. The best part was that it came with fried shrimp heads--very flavorful, crunchy on the outside, and soft and juicy on the inside!- Chicken Skin (Tori-Kawa) Skewer--$6.50My friend and I have similar food tastes, and both like chicken skin so we got this skewer. The chicken skin was light and crispy and perfectly broiled with a slightly smoky flavor.- Chicken Gizzard (Sunagimo) Skewer--$6.50It was my first time trying chicken gizzards and I liked it. It had a nice satisfying chew and subtle flavor.Tips:- They currently only have take-out options, and make sure to order by dropping by the store, or by ordering through the phone. The phone line does get busy so be patient and keep calling. Otherwise, drop by in person to the store to place your order.- Order ahead and expect a wait for the food to be prepared because it's a super popular place! My friend and I stopped by 10 min before they opened on a Saturday, and were second in line to order. When we ordered, we were given an estimate of 30-40 min wait for the food to be prepared. We took a walk around Castro Street and the wait was not bad at all.- There are some empty tables and chairs on Castro Street (specifically in front of Icicles) that you can take advantage of if you want to eat right after picking up your food."
218,Not sure where all.the great reviews about the food come from.....review is for sushi some very very fishy! Not the best tasting sushi and definitely not worth the wait. After ordering our food took like 50 min to get it. For the price and quality of sushi go somewhere else
219,"Walk inside and put your name and how many in you party on their list. Choose if you want a table, the Sushi bar or either, and then head back outside and wait to be called. Don't let the line fool you- it moves a lot quicker than you expect. And once you get inside, you will find it was worth the wait, long or short. This place is buzzing! I was given a seat at the bar (my first choice) and was promptly asked for my drink order as I was seated- excellent! I was given a dinner menu and a paper Sushi menu with a pencil, alternatively I could order straight from the Sushi chefs; and a small bowl of Edamame. I ordered a draft beer and a large Saké.For dinner, I ordered several pieces of Nigiri Sushi, as well as 3 rolls. about 15 minutes later I was served a beautifully displayed plate of fresh and tasty Sushi, and enjoyed it immensely.I love sitting at the Sushi bar and watching the chefs do their amazing food-art, but it is also great seeing all the people come and go, and watching the servers organize a veritable symphony of getting people seated in a quick, but orderly fashion.This place is loud and fun, food is excellent, and do NOT be put off by the amount of people outside- it's quicker than you think and worth the wait!"
220,Now that I have a job and better taste in food. I must say this is my fav sushi place ever! Affordable and really good quality sushi! Their salmon is very buttery and melt in your mouth.Service is the front is better than the back area.
221,Now that I have a job and better taste in food. I must say this is my fav sushi place ever! Affordable and really good quality sushi! Their salmon is very buttery and melt in your mouth.
222,"I've came here many many times with my mom (because she is a baller, and I'm broke cant afford expensive sushi places lol)The sushi is indeed fresh but bento box are fairly small, last time my salmon teriyaki was incredibly small that i had to order their $17 hamachi sashimi after lol The bill came out to be $70 for us two, DAYMMM i can eat so much other food with that kind of money lol #collegestudentlife"
223,I am a vegetarian but I love the California roles here. They are made so tasty with cucumber and avocado filling inside rolled rice. Lip smacking indeed
224,"Wow, tried this restaurant for the first time tonight and it was spectacular! We were a party of four and ordered a few combos.The omakase with appetizer combo is a great deal! It comes with three different appetizers- they vary from time to time. They are assorted and if you order two for the table you can ask for them to be different.Both the omakase were very fresh- sashimi and sushi. My sushi favorites were scallop, anago, and toro!The sashimi omakase had a large assortment including smoked uni! We also ordered the sushi special- which is $25 but I would definitely upgrade to the omakase sushi! For $45, 10 pieces! The tables nearby had other non sushi dishes which also looked really appetizing- soups, fried squid, don buri! Definitely coming back and trying more of their option.Btw, the wait gets long! We came at 6pm and waited for about 30 minutes. When we left, there was still a wait. So just prepared, it's not incredibly long but just make sure you keep that timing in mind. Everyone has to be present to be seated!"
225,Really good sushi for a reasonable price.  Fresh sushi.  I've only eaten once at the restaurant but the service was good.  I wish they would deliver :(
226,"Lived in the bay all these years and finally tried Sushi Tomi this past weekend (not to be confused with the Tomi buffet in SJ). Sushi Tomi is located right off of Castro on Dana St and there's parking right in front or in the lot right across the street. We knew we had arrived after seeing a small crowd congregating in front.We had a party of 7 and quoted a wait time of 15 mins which wasn't bad at all. Service is fast here! The space is a little cramped or, rather, cozy; one side consists of the sushi bar and the other side has tables for larger groups. Bf and I shared the dinner 2 pc combo (salmon teriyaki and tonkatsu) and the sashimi dinner. These options came with soup, salad, and rice. Boy, were the servings large! We took leftovers home with us. The takoyaki, gyoza, and tempura appetizers were also pretty tasty.A few things that can be improved upon: ordering and the bathroom. The waitress couldn't provide additional details about the menu and it was rather rushed. We wanted the tempura appetizer, not dinner order. First, she said they didn't have it then she said she could do it, but didn't know the price. And let's just say, the bathroom has seen better days."
227,"Came back after not having been in about a year (used to visit rather frequently). Everything went down across the board, from food quality to service. It's upsetting that a place that used to be borderline 5 stars is now barely holding on to 3.5 and I'm being rather generous and rounding up to keep it at 4. I was shocked to find out that the prime time Saturday night wait that used to be an hour was now less than 15 minutes. Sadly, there is a reason for that and it's not because they became more efficient.Doesn't look like the place was maintained much or at all and it looks a bit more run down; not in the modest and humble kind of way - in the we haven't bothered to fix this chipped paint and creaking chairs in years way.The service was worse than I've ever experienced before. Sushi Tomi was always a hit and miss when it came to service but it was especially poor that night and we were mostly ignored and often had to try to wave down other servers, often to no avail. The saving grace was always their food quality. Well, that's not the case anymore, at least for the price point. Sushi Tomi still has no serious competition in the immediate area but their offerings used to be the sweet spot of high quality for relatively reasonable prices, landing them above the local sushi place's quality but still below the cost of some of the higher end sushi places that are indisputably better.Well, I'm sad to say that from the extra special chirashi, to the grilled squid, to the unagi don, their quality has gone down drastically. I've had all these dishes before and they were much, much better. The fish wasn't fresh. The cuts were inconsistent. Rice was subpar. The squid was overcooked and dry. Sure, it still looked good but the quality just wasn't there and the price is still relatively the same. There might be no serious competition in the immediate area but there are plenty of options a short drive away and their quality has gone up, not down. What made Sushi Tomi extra special is no more. Doubt I'll be returning any time soon."
228,"Just a block away from the busy and restaurant filled Castro street, Sushi Tomi is conveniently located and there is a reason why there is always a line (expect to wait an average of 30min).Yes, there really isn't any decent competition in the area that delivers quality sushi but Sushi Tomi is also a good, solid sushi joint. Their fish is fresh, fatty and full of flavor. For the sushi fanatics, do not expect this to compare with the likes of Tokyo Fish Market in Japan or Kusakabe in SF,  but it will neither require you to fly halfway across the world nor drop $200+ for a meal. It's a good middle ground - providing quality, tasty sushi at a reasonable price point. Satisfaction and rating will vary anywhere between 3 and 4.5 depending on what you order. We have found that our favorites that consistently tend to deliver on freshness, taste and overall satisfaction are the Extra Special Sushi/Sashimi/Nigiri Chef's Choice Dinner and the Extra Special Chirashi. Both come with top choices like bluefin tuna and uni along with the expected salmon, tuna, etc. The fish is fresh and fatty and tends to melt in your mouth. The rice, which is often overlooked in lower tier sushi places, is well seasoned, fresh and has the right consistency of fluffiness and stickiness. Service is generally ok but it does tend to be a hit or miss game sometimes. Generally though, the service is acceptable but nothing mind blowing. What you come for here, is the quality of the fish."
229,"I love Sushi Tomi's selection of fresh raw fish & seafood. They have the normal offerings such as salmon, tuna, and yellowtail, and also more ""fancy"" choices such as uni, sweet shrimp, and amberjack. But probably the best part of their fish/seafood selection they also have daily specials from Tsukiji Market in Japan! There's something for everyone here.Every time I come here, I have to be careful with how much I order because the price per head can definitely stack up if you love sashimi and just want a bit of everything. This time I tried their Tsukiji special. They offered a 6 piece nigiri set for $20 and a 6 piece sashimi set for $28. Sadly, I couldn't really remember the fish, but they were all delicious and all had different textures and tastes from one another. My friend got the tenzaru soba with mixed tempura, which honestly is a steal at about $10. We also shared some a la carte nigiri...our favorite is the sweet shrimp as they also fry the shrimp head for you (so good!).This place is always crowded, so make sure you line up early or you're prepared to wait a bit! It's worth it."
230,"This is my favorite reasonably priced sushi place in the area. It has both sushi rolls as well as higher quality (""fancy"") nigiris that are available in upscale restaurants. The fish here is fresh and the rice is solid. When you get here be ready to wait in line for some time (depending on the time it could take 30+ mins). Luckily the owners provide some complimentary hot tea and water outside of the restaurant for people waiting in line.I used to be overwhelmed by sushi choices but now figured out a good order that I usually stick to (2 person order). I'd recommend other people trying it if you are not sure what to get:- I liked to order salmon avocado roll (very good basic roll)- Tomi special roll with hamachi- Hamachi toro nigiri (one of those fancy two piece sushi; worth trying)It's pretty important to eat things in order of ascending strength of flavor if you care about subtle flavors. I thought I didn't care but I tried eating salmon avocado roll after the very rich sushi tomi roll and I couldn't taste much - the roll ended up tasting mediocre because of that. So here's my preferred ordering:- Start with hamachi or whatever plain nigiri. I like to mix some wasabi with a bit of soy sauce, dab chopsticks in the mix and then lightly pat the fish. If you dip the fish in the mix it might end up tasting like soy sauce because it's very concentrated.- Follow with salmon avocado roll. For this one I lightly dip it in the sauce because it's a more basic roll.- Finish with the tomi special roll. I prefer not using the spicy mayo it comes with too much because it's very strong.Overall this is a great sushi spot. The other non-sushi items are decent but their strength definitely lies in sushi."
231,"The waitress was unpleasant; the rolls were limited (only a few) and very VERY plain, simple, and had no descriptions, just names. To our surprise, their special roll was a simple tuna roll. No deserts, no ice cream. Had a feeling they want you in and out right away. Not coming back. The service and food were OK."
232,"We ordered $200 for take-away. We are VERY picky sushi eaters as we make a lot of high-end sushi at home. Our taste buds concluded Sushi Tomi sushi is better than the avg three star rating that Yelp is calculating. So another restaurant that Yelp rates incorrectly.  We liked their Red Dragon and Queen's Scallop special rolls. Rainbow roll was good also.  Also we noticed the Sake Maki rolls were made very exquisitely. People think such a ""common"" roll as a sake makizushi is not worth reviewing but actually one can read a lot into the skill of the sush chef by looking at how much care they put into making makizushi"
233,"Will not order for Togo anymore. Very often for Togo, the sashimi will be missing a few piece. Sometime, soup is missing for the combo order. This time, soup and salad are both missing from our order. Very disappointed after long drive."
234,"Huge fan of their food, not a fan of their lines.Sushi Tomi is located a little bit off the side of Castro Street and there is a ton of parking spaces nearby so no need to fret too much! My mom and I came here for lunch on Sunday around 12pm and the wait time for 2 people was about 40 minutes. We ordered a sashimi lunch and a lunch bento with tempura and katsu. The lunch bento was okay, the tempura was decent and the katsu was kind of dry so I didn't eat too much of it. The sashimi lunch was super good! It had about 11 pieces of really fresh fish, it's a mixture of salmon, tuna, yellowtail, and white tuna.Overall I would definitely come back to Sushi Tomi again. Even though its a tad pricier than other sushi places, I think the quality is definitely worth it. Next time i'm sticking to sushi items only!"
235,Excelente service and the food is great. All the sushi rolls are delicious! They don't take reservations.  We have gone to different sushi places and Sushi Tomi it's our favorite one by far.
236,"Located a few blocks from Castro St. There's street parking in the front and a parking lot across the street. I recommend getting her a few minutes before 6 PM as parking will fill up.We came here on a Wednesday night around 6 PM. There were a lot of people waiting. This place has a lot of room - definitely more than the Saratoga one. For three girls, we ordered tempura and whole squid for appetizers. The tempura was delicious. The whole squid was good, but we wish there was some sauce on it.I ordered the sashimi dinner, which comes with salad and miso soup. It was delicious! The fish was really fresh. Miso soup always hits the spot, especially on a cold day.Overall, the experience was good. I'd definitely go back again. I hear their omakase (around $45) and chirashi are really good too!"
237,"This might be a really weird thing to praise or claim but I'm going to go full pants down and say it, anyways... Sushi Tomi has the BEST spicy tuna rolls I've had in the bay. They taste wonderfully fresh, have a nice creamy texture that melts in your mouth, and actually have some spice to them. I like my wasabi with just a few drops of soy sauce (aka burn up the nostrils spicy) so this combination is dynamite. Two orders and a spicy tuna hand roll with a side of miso soup...easy to please and bursting at the seams...My partner in sushi crime makes up for my lack of variety by indulging in their omakase, which is quite reasonably priced for the amount (10 pieces), freshness and overall quality. Their grilled whole squid is also delicious and worth ordering if you like squid. The way they char the tentacles is amazing and really brings out the rich flavors.Going back to my favorite item, I felt inspired to write a little jingle:(to the beat of Spice Up Your Life)La la la la la la la la la La la la la la la la La la la la la la la la la La la la la la la laWhen you're feelin' sad and low It will take you where you gotta go Come here early, street parking is free All you need is some Sushi TomiWhatchu ordering? Spicy Tuna!Is it really all that good?Hell to the yaah!Whatchu ordering?!Spicy Tuna!Aahhhh~Pass the menu left If you're havin' a good time Shake it to the right Cause it's spicy tuna timeChopsticks to the front Ha ha (uh uh) Go roundPass the menu left If you're havin' a good time Shake it to the right Cause it's spicy tuna timeChopsticks to the front  Ha ha Hai Si Ja Hold tight--end song and review--"
238,"Very fresh fish. I tend to have issues calling in my order as they get really busy so I just order at the restaurant. Their tamago is the best I've had in the bay, soft and fluffy. Their bentos are huge. Chicken teriyaki is nice and flavorful."
